Fecha,Total
2014-10-31,1.3189504282407407
2014-11-30,1.2651356886574077
2014-12-31,1.336366768904321
2015-01-31,1.3285228896604937
2015-02-28,1.237801489197531
2015-03-31,1.359571440972222
2015-04-30,1.3413632291666668
2015-05-31,1.342707727623457
2015-06-30,1.2405339891975309
2015-07-31,1.3410545408950618
2015-08-31,1.3205176234567901
2015-09-30,1.289565250771605
2015-10-31,1.2842600713734567
2015-11-30,1.27051059220679
2015-12-31,1.3048780748456792
2016-01-31,1.2330103433641977
2016-02-29,1.0802559510030865
2016-03-31,1.0922310088734568
2016-04-30,1.0774347241512345
2016-05-31,1.2144788078703703
2016-06-30,1.1239744618055556
2016-07-31,1.1776787962962962
2016-08-31,1.224091954089506
2016-09-30,1.2194009645061727
2016-10-31,1.3482607060185186
